vendor_id,supplier_name,defect_rate,lead_time_days,quality_score
Supplier 3,Supplier 3,0.0014,7,4.5
Supplier 3,Supplier 3,0.0098,7,4.5
Supplier 3,Supplier 3,0.0404,7,4.5
Supplier 3,Supplier 3,0.0408,7,4.5
Supplier 3,Supplier 3,0.0256,7,4.5
Supplier 3,Supplier 3,0.0265,7,4.5
Supplier 3,Supplier 3,0.0105,7,4.5
Supplier 3,Supplier 3,0.0202,7,4.5
Supplier 3,Supplier 3,0.0004,7,4.5
Supplier 3,Supplier 3,0.0238,7,4.5
Supplier 3,Supplier 3,0.0714,7,4.5
Supplier 3,Supplier 3,0.028,7,4.5
Supplier 3,Supplier 3,0.0045,7,4.5
Supplier 3,Supplier 3,0.0093,7,4.5
Supplier 3,Supplier 3,0.0352,7,4.5
Supplier 3,Supplier 3,0.0319,7,4.5
Supplier 3,Supplier 3,0.0223,7,4.5
Supplier 3,Supplier 3,0.003,7,4.5
Supplier 3,Supplier 3,0.0048,7,4.5
Supplier 3,Supplier 3,0.0011,7,4.5
Supplier 3,Supplier 3,0.0062,7,4.5
Supplier 3,Supplier 3,0.0169,7,4.5
Supplier 3,Supplier 3,0.0364,7,4.5
Supplier 3,Supplier 3,0.0645,7,4.5
Supplier 3,Supplier 3,0.0001,7,4.5
Supplier 3,Supplier 3,0.0221,7,4.5
Supplier 3,Supplier 3,0.0152,7,4.5
Supplier 3,Supplier 3,0.0181,7,4.5
Supplier 3,Supplier 3,0.0388,7,4.5
Supplier 3,Supplier 3,0.0104,7,4.5
Supplier 3,Supplier 3,0.0184,7,4.5
Supplier 3,Supplier 3,0.0035,7,4.5
Supplier 3,Supplier 3,0.0637,7,4.5
Supplier 3,Supplier 3,0.0336,7,4.5
Supplier 3,Supplier 3,0.016,7,4.5
Supplier 3,Supplier 3,0.0318,7,4.5
Supplier 3,Supplier 3,0.0321,7,4.5
Supplier 3,Supplier 3,0.0379,7,4.5
Supplier 3,Supplier 3,0.0457,7,4.5
Supplier 3,Supplier 3,0.0015,7,4.5
Supplier 3,Supplier 3,0.0387,7,4.5
Supplier 3,Supplier 3,0.0074,7,4.5
Supplier 3,Supplier 3,0.0389,7,4.5
Supplier 3,Supplier 3,0.0027,7,4.5
Supplier 3,Supplier 3,0.0025,7,4.5
Supplier 3,Supplier 3,0.0069,7,4.5
Supplier 3,Supplier 3,0.0285,7,4.5
Supplier 3,Supplier 3,0.0111,7,4.5
Supplier 3,Supplier 3,0.0262,7,4.5
Supplier 3,Supplier 3,0.0655,7,4.5
Supplier 3,Supplier 3,0.0601,7,4.5
Supplier 3,Supplier 3,0.0108,7,4.5
Supplier 3,Supplier 3,0.0077,7,4.5
Supplier 3,Supplier 3,0.032,7,4.5
Supplier 3,Supplier 3,0.0068,7,4.5
Supplier 3,Supplier 3,0.0162,7,4.5
Supplier 3,Supplier 3,0.0107,7,4.5
Supplier 3,Supplier 3,0.0429,7,4.5
Supplier 3,Supplier 3,0.001,30,4.5
Supplier 3,Supplier 3,0.0159,30,4.5
Supplier 3,Supplier 3,0.0358,30,4.5
Supplier 3,Supplier 3,0.0641,30,4.5
Supplier 3,Supplier 3,0.0039,30,4.5
Supplier 3,Supplier 3,0.0097,30,4.5
Supplier 3,Supplier 3,0.0458,30,4.5
Supplier 3,Supplier 3,0.0469,30,4.5
Supplier 3,Supplier 3,0.0326,30,4.5
Supplier 3,Supplier 3,0.0592,30,4.5
Supplier 3,Supplier 3,0.0252,30,4.5
Supplier 3,Supplier 3,0.0747,30,4.5
Supplier 3,Supplier 3,0.0056,30,4.5
Supplier 3,Supplier 3,0.1347,30,4.5
Supplier 3,Supplier 3,0.0074,30,4.5
Supplier 3,Supplier 3,0.0134,30,4.5
Supplier 3,Supplier 3,0.0032,30,4.5
Supplier 3,Supplier 3,0.0302,30,4.5
Supplier 3,Supplier 3,0.0314,30,4.5
Supplier 3,Supplier 3,0.0178,30,4.5
Supplier 3,Supplier 3,0.0218,30,4.5
Supplier 3,Supplier 3,0.0057,30,4.5
Supplier 3,Supplier 3,0.0013,30,4.5
Supplier 3,Supplier 3,0.0267,30,4.5
Supplier 3,Supplier 3,0.0011,30,4.5
Supplier 3,Supplier 3,0.0238,30,4.5
Supplier 3,Supplier 3,0.0227,30,4.5
Supplier 3,Supplier 3,0.0175,30,4.5
Supplier 3,Supplier 3,0.0479,30,4.5
Supplier 3,Supplier 3,0.0053,30,4.5
Supplier 3,Supplier 3,0.0012,30,4.5
Supplier 3,Supplier 3,0.004,30,4.5
Supplier 3,Supplier 3,0.0042,30,4.5
Supplier 3,Supplier 3,0.0188,30,4.5
Supplier 3,Supplier 3,0.0414,30,4.5
Supplier 3,Supplier 3,0.0456,30,4.5
Supplier 3,Supplier 3,0.0228,30,4.5
Supplier 3,Supplier 3,0.0202,30,4.5
Supplier 3,Supplier 3,0.0237,30,4.5
Supplier 3,Supplier 3,0.0002,30,4.5
Supplier 3,Supplier 3,0.0156,30,4.5
Supplier 3,Supplier 3,0.0142,30,4.5
Supplier 3,Supplier 3,0.0161,30,4.5
Supplier 3,Supplier 3,0.005,30,4.5
Supplier 3,Supplier 3,0.04,30,4.5
Supplier 3,Supplier 3,0.0441,30,4.5
Supplier 3,Supplier 3,0.0017,30,4.5
Supplier 3,Supplier 3,0.0114,30,4.5
Supplier 3,Supplier 3,0.0025,30,4.5
Supplier 3,Supplier 3,0.012,30,4.5
Supplier 3,Supplier 3,0.0186,30,4.5
Supplier 3,Supplier 3,0.0647,30,4.5
Supplier 3,Supplier 3,0.017,30,4.5
Supplier 3,Supplier 3,0.0068,30,4.5
Supplier 3,Supplier 3,0.0271,30,4.5
Supplier 3,Supplier 3,0.0176,30,4.5
Supplier 3,Supplier 3,0.091,30,4.5
Supplier 3,Supplier 3,0.0194,30,4.5
Supplier 3,Supplier 3,0.0016,30,4.5
Supplier 3,Supplier 3,0.0193,30,4.5
Supplier 3,Supplier 3,0.0049,30,4.5
Supplier 3,Supplier 3,0.01,30,4.5
Supplier 3,Supplier 3,0.045,30,4.5
Supplier 3,Supplier 3,0.0179,30,4.5
Supplier 3,Supplier 3,0.1149,30,4.5
Supplier 3,Supplier 3,0.0628,30,4.5
Supplier 3,Supplier 3,0.0125,30,4.5
Supplier 3,Supplier 3,0.0257,30,4.5
Supplier 3,Supplier 3,0.0327,30,4.5
Supplier 3,Supplier 3,0.0041,30,4.5
Supplier 3,Supplier 3,0.0541,30,4.5
Supplier 3,Supplier 3,0.0009,30,4.5
Supplier 3,Supplier 3,0.0104,30,4.5
Supplier 3,Supplier 3,0.0019,30,4.5
Supplier 3,Supplier 3,0.0325,30,4.5
Supplier 3,Supplier 3,0.0379,30,4.5
Supplier 3,Supplier 3,0.0217,30,4.5
Supplier 3,Supplier 3,0.0222,30,4.5
Supplier 3,Supplier 3,0.0102,30,4.5
Supplier 3,Supplier 3,0.0384,30,4.5
Supplier 3,Supplier 3,0.0273,30,4.5
Supplier 3,Supplier 3,0.0073,30,4.5
Supplier 3,Supplier 3,0.0086,30,4.5
Supplier 3,Supplier 3,0.0676,30,4.5
Supplier 3,Supplier 3,0.0315,30,4.5
Supplier 3,Supplier 3,0.0328,30,4.5
Supplier 3,Supplier 3,0.0289,30,4.5
Supplier 3,Supplier 3,0.0381,30,4.5
Supplier 3,Supplier 3,0.0078,30,4.5
Supplier 3,Supplier 3,0.015,30,4.5
Supplier 3,Supplier 3,0.0433,30,4.5
Supplier 3,Supplier 3,0.007,30,4.5
Supplier 3,Supplier 3,0.0334,30,4.5
Supplier 3,Supplier 3,0.0155,30,4.5
Supplier 3,Supplier 3,0.0554,30,4.5
Supplier 3,Supplier 3,0.0318,30,4.5
Supplier 3,Supplier 3,0.0079,30,4.5
Supplier 3,Supplier 3,0.0088,30,4.5
Supplier 3,Supplier 3,0.0008,30,4.5
Supplier 3,Supplier 3,0.0095,30,4.5
Supplier 3,Supplier 3,0.0001,30,4.5
Supplier 3,Supplier 3,0.0354,30,4.5
Supplier 3,Supplier 3,0.0171,30,4.5
Supplier 3,Supplier 3,0.0167,30,4.5
Supplier 3,Supplier 3,0.0048,30,4.5
Supplier 3,Supplier 3,0.0045,30,4.5
Supplier 3,Supplier 3,0.0149,30,4.5
Supplier 3,Supplier 3,0.0199,30,4.5
Supplier 3,Supplier 3,0.0135,30,4.5
Supplier 3,Supplier 3,0.0215,30,4.5
Supplier 3,Supplier 3,0.0113,30,4.5
Supplier 3,Supplier 3,0.0254,30,4.5
Supplier 3,Supplier 3,0.0282,30,4.5
Supplier 3,Supplier 3,0.0198,30,4.5
Supplier 3,Supplier 3,0.0144,30,4.5
Supplier 3,Supplier 3,0.0169,30,4.5
Supplier 3,Supplier 3,0.0087,30,4.5
Supplier 3,Supplier 3,0.0232,30,4.5
Supplier 3,Supplier 3,0.0106,30,4.5
Supplier 3,Supplier 3,0.0004,30,4.5
Supplier 3,Supplier 3,0.0061,30,4.5
Supplier 3,Supplier 3,0.0101,30,4.5
Supplier 3,Supplier 3,0.0421,30,4.5
Supplier 3,Supplier 3,0.0058,30,4.5
Supplier 3,Supplier 3,0.0024,30,4.5
Supplier 3,Supplier 3,0.019,30,4.5
Supplier 3,Supplier 3,0.0177,30,4.5
Supplier 3,Supplier 3,0.0067,30,4.5
Supplier 3,Supplier 3,0.0209,30,4.5
Supplier 3,Supplier 3,0.0117,30,4.5
Supplier 3,Supplier 3,0.0246,30,4.5
Supplier 3,Supplier 3,0.0204,30,4.5
Supplier 3,Supplier 3,0.0399,30,4.5
Supplier 3,Supplier 3,0.0122,30,4.5
Supplier 3,Supplier 3,0.0118,30,4.5
Supplier 3,Supplier 3,0.0007,30,4.5
Supplier 3,Supplier 3,0.0233,30,4.5
Supplier 3,Supplier 3,0.0121,30,4.5
Supplier 3,Supplier 3,0.027,30,4.5
Supplier 3,Supplier 3,0.0337,30,4.5
Supplier 3,Supplier 3,0.0022,30,4.5
Supplier 3,Supplier 3,0.0357,30,4.5
Supplier 3,Supplier 3,0.0138,30,4.5
Supplier 3,Supplier 3,0.0119,30,4.5
Supplier 3,Supplier 3,0.0115,30,4.5
Supplier 3,Supplier 3,0.042,30,4.5
Supplier 3,Supplier 3,0.0274,30,4.5
Supplier 3,Supplier 3,0.0372,30,4.5
Supplier 3,Supplier 3,0.011,30,4.5
Supplier 3,Supplier 3,0.0197,30,4.5
Supplier 3,Supplier 3,0.0231,30,4.5
Supplier 3,Supplier 3,0.006,30,4.5
Supplier 1,Supplier 1,0.0049,10,4.5
Supplier 1,Supplier 1,0.0157,10,4.5
Supplier 1,Supplier 1,0.0025,10,4.5
Supplier 1,Supplier 1,0.0034,10,4.5
Supplier 1,Supplier 1,0.0087,10,4.5
Supplier 1,Supplier 1,0.0045,10,4.5
Supplier 1,Supplier 1,0.0041,10,4.5
Supplier 1,Supplier 1,0.0102,10,4.5
Supplier 1,Supplier 1,0.0104,10,4.5
Supplier 1,Supplier 1,0.0068,10,4.5
Supplier 1,Supplier 1,0.0214,10,4.5
Supplier 1,Supplier 1,0.0075,10,4.5
Supplier 1,Supplier 1,0.0055,10,4.5
Supplier 1,Supplier 1,0.0063,10,4.5
Supplier 1,Supplier 1,0.002,10,4.5
Supplier 1,Supplier 1,0.0126,10,4.5
Supplier 1,Supplier 1,0.0138,10,4.5
Supplier 1,Supplier 1,0.0065,10,4.5
Supplier 1,Supplier 1,0.0117,10,4.5
Supplier 1,Supplier 1,0.0452,10,4.5
Supplier 1,Supplier 1,0.0199,10,4.5
Supplier 1,Supplier 1,0.0841,10,4.5
Supplier 1,Supplier 1,0.0388,10,4.5
Supplier 1,Supplier 1,0.0129,10,4.5
Supplier 1,Supplier 1,0.0048,10,4.5
Supplier 1,Supplier 1,0.0153,10,4.5
Supplier 1,Supplier 1,0.0175,10,4.5
Supplier 1,Supplier 1,0.01,10,4.5
Supplier 1,Supplier 1,0.0756,10,4.5
Supplier 1,Supplier 1,0.0036,10,4.5
Supplier 1,Supplier 1,0.0116,10,4.5
Supplier 1,Supplier 1,0.0119,10,4.5
Supplier 1,Supplier 1,0.0356,10,4.5
Supplier 1,Supplier 1,0.0473,10,4.5
Supplier 1,Supplier 1,0.0224,10,4.5
Supplier 1,Supplier 1,0.0195,10,4.5
Supplier 1,Supplier 1,0.0436,10,4.5
Supplier 1,Supplier 1,0.0411,10,4.5
Supplier 1,Supplier 1,0.0305,10,4.5
Supplier 1,Supplier 1,0.0002,10,4.5
Supplier 1,Supplier 1,0.0453,10,4.5
Supplier 1,Supplier 1,0.0183,10,4.5
Supplier 1,Supplier 1,0.0006,10,4.5
Supplier 1,Supplier 1,0.0515,10,4.5
Supplier 1,Supplier 1,0.0042,10,4.5
Supplier 1,Supplier 1,0.0015,10,4.5
Supplier 1,Supplier 1,0.0092,10,4.5
Supplier 1,Supplier 1,0.0062,10,4.5
Supplier 1,Supplier 1,0.0196,10,4.5
Supplier 1,Supplier 1,0.0111,10,4.5
Supplier 1,Supplier 1,0.0248,10,4.5
Supplier 1,Supplier 1,0.0074,10,4.5
Supplier 1,Supplier 1,0.0377,10,4.5
Supplier 1,Supplier 1,0.0054,10,4.5
Supplier 1,Supplier 1,0.0337,10,4.5
Supplier 1,Supplier 1,0.0165,10,4.5
Supplier 1,Supplier 1,0.039,10,4.5
Supplier 1,Supplier 1,0.0823,10,4.5
Supplier 1,Supplier 1,0.0058,10,4.5
Supplier 1,Supplier 1,0.043,10,4.5
Supplier 1,Supplier 1,0.0236,10,4.5
Supplier 1,Supplier 1,0.0313,10,4.5
Supplier 1,Supplier 1,0.0071,10,4.5
Supplier 1,Supplier 1,0.023,10,4.5
Supplier 1,Supplier 1,0.0031,10,4.5
Supplier 1,Supplier 1,0.007,10,4.5
Supplier 1,Supplier 1,0.0009,10,4.5
Supplier 1,Supplier 1,0.0339,10,4.5
Supplier 1,Supplier 1,0.0241,10,4.5
Supplier 1,Supplier 1,0.0133,10,4.5
Supplier 1,Supplier 1,0.0022,10,4.5
Supplier 1,Supplier 1,0.0005,10,4.5
Supplier 1,Supplier 1,0.0073,10,4.5
Supplier 1,Supplier 1,0.0052,10,4.5
Supplier 1,Supplier 1,0.0495,10,4.5
Supplier 1,Supplier 1,0.0114,10,4.5
Supplier 1,Supplier 1,0.0027,10,4.5
Supplier 1,Supplier 1,0.0181,10,4.5
Supplier 1,Supplier 1,0.0294,10,4.5
Supplier 1,Supplier 1,0.0194,10,4.5
Supplier 1,Supplier 1,0.0011,10,4.5
Supplier 1,Supplier 1,0.0299,10,4.5
Supplier 1,Supplier 1,0.0163,10,4.5
Supplier 1,Supplier 1,0.0174,10,4.5
Supplier 1,Supplier 1,0.0615,10,4.5
Supplier 1,Supplier 1,0.0225,10,4.5
Supplier 1,Supplier 1,0.0254,10,4.5
Supplier 1,Supplier 1,0.0007,10,4.5
Supplier 1,Supplier 1,0.0004,10,4.5
Supplier 1,Supplier 1,0.0069,10,4.5
Supplier 1,Supplier 1,0.0271,10,4.5
Supplier 1,Supplier 1,0.0401,10,4.5
Supplier 1,Supplier 1,0.0372,10,4.5
Supplier 1,Supplier 1,0.035,10,4.5
Supplier 1,Supplier 1,0.0325,10,4.5
Supplier 1,Supplier 1,0.0043,10,4.5
Supplier 1,Supplier 1,0.0149,10,4.5
Supplier 1,Supplier 1,0.0012,10,4.5
Supplier 1,Supplier 1,0.0076,10,4.5
Supplier 1,Supplier 1,0.0234,10,4.5
Supplier 1,Supplier 1,0.0168,10,4.5
Supplier 1,Supplier 1,0.0417,10,4.5
Supplier 1,Supplier 1,0.0121,10,4.5
Supplier 1,Supplier 1,0.0185,10,4.5
Supplier 1,Supplier 1,0.0014,10,4.5
Supplier 1,Supplier 1,0.1179,10,4.5
Supplier 1,Supplier 1,0.0467,10,4.5
Supplier 1,Supplier 1,0.0178,10,4.5
Supplier 1,Supplier 1,0.001,10,4.5
Supplier 1,Supplier 1,0.0169,10,4.5
Supplier 1,Supplier 1,0.0421,10,4.5
Supplier 1,Supplier 1,0.0016,10,4.5
Supplier 1,Supplier 1,0.0351,10,4.5
Supplier 1,Supplier 1,0.006,10,4.5
Supplier 1,Supplier 1,0.018,10,4.5
Supplier 1,Supplier 1,0.0085,10,4.5
Supplier 1,Supplier 1,0.0463,10,4.5
Supplier 1,Supplier 1,0.003,10,4.5
Supplier 1,Supplier 1,0.0135,10,4.5
Supplier 1,Supplier 1,0.0636,10,4.5
Supplier 1,Supplier 1,0.0003,10,4.5
Supplier 1,Supplier 1,0.0037,10,4.5
Supplier 1,Supplier 1,0.0182,10,4.5
Supplier 1,Supplier 1,0.0023,10,4.5
Supplier 1,Supplier 1,0.0103,10,4.5
Supplier 1,Supplier 1,0.0619,10,4.5
Supplier 1,Supplier 1,0.0281,10,4.5
Supplier 1,Supplier 1,0.0465,10,4.5
Supplier 1,Supplier 1,0.0124,10,4.5
Supplier 1,Supplier 1,0.0139,10,4.5
Supplier 1,Supplier 1,0.098,10,4.5
Supplier 1,Supplier 1,0.036,10,4.5
Supplier 1,Supplier 1,0.0284,10,4.5
Supplier 1,Supplier 1,0.0141,10,4.5
Supplier 1,Supplier 1,0.0778,10,4.5
Supplier 1,Supplier 1,0.0563,10,4.5
Supplier 1,Supplier 1,0.0232,10,4.5
Supplier 1,Supplier 1,0.0072,10,4.5
Supplier 1,Supplier 1,0.0286,10,4.5
Supplier 1,Supplier 1,0.0289,10,4.5
Supplier 1,Supplier 1,0.0208,10,4.5
Supplier 1,Supplier 1,0.0035,10,4.5
Supplier 1,Supplier 1,0.0487,10,4.5
Supplier 1,Supplier 1,0.1392,10,4.5
Supplier 1,Supplier 1,0.0202,10,4.5
Supplier 1,Supplier 1,0.0028,10,4.5
Supplier 1,Supplier 1,0.0013,10,4.5
Supplier 1,Supplier 1,0.0242,10,4.5
Supplier 1,Supplier 1,0.0342,10,4.5
Supplier 1,Supplier 1,0.0083,10,4.5
Supplier 5,Supplier 5,0.0485,13,4.5
Supplier 5,Supplier 5,0.0221,13,4.5
Supplier 5,Supplier 5,0.0156,13,4.5
Supplier 5,Supplier 5,0.0365,13,4.5
Supplier 5,Supplier 5,0.0066,13,4.5
Supplier 5,Supplier 5,0.0123,13,4.5
Supplier 5,Supplier 5,0.017,13,4.5
Supplier 5,Supplier 5,0.044,13,4.5
Supplier 5,Supplier 5,0.0229,13,4.5
Supplier 5,Supplier 5,0.0192,13,4.5
Supplier 5,Supplier 5,0.0144,13,4.5
Supplier 5,Supplier 5,0.019,13,4.5
Supplier 5,Supplier 5,0.0294,13,4.5
Supplier 5,Supplier 5,0.0117,13,4.5
Supplier 5,Supplier 5,0.0359,13,4.5
Supplier 5,Supplier 5,0.0685,13,4.5
Supplier 5,Supplier 5,0.0038,13,4.5
Supplier 5,Supplier 5,0.0056,13,4.5
Supplier 5,Supplier 5,0.0167,13,4.5
Supplier 5,Supplier 5,0.0096,13,4.5
Supplier 5,Supplier 5,0.0175,13,4.5
Supplier 5,Supplier 5,0.0506,13,4.5
Supplier 5,Supplier 5,0.0445,13,4.5
Supplier 5,Supplier 5,0.0055,13,4.5
Supplier 5,Supplier 5,0.0269,13,4.5
Supplier 5,Supplier 5,0.0549,13,4.5
Supplier 5,Supplier 5,0.0002,13,4.5
Supplier 5,Supplier 5,0.0634,13,4.5
Supplier 5,Supplier 5,0.0416,13,4.5
Supplier 5,Supplier 5,0.021,13,4.5
Supplier 5,Supplier 5,0.0044,13,4.5
Supplier 5,Supplier 5,0.0179,13,4.5
Supplier 5,Supplier 5,0.0254,13,4.5
Supplier 5,Supplier 5,0.0092,13,4.5
Supplier 5,Supplier 5,0.0061,13,4.5
Supplier 5,Supplier 5,0.0005,13,4.5
Supplier 5,Supplier 5,0.041,13,4.5
Supplier 5,Supplier 5,0.0019,13,4.5
Supplier 5,Supplier 5,0.0043,13,4.5
Supplier 5,Supplier 5,0.0484,13,4.5
Supplier 5,Supplier 5,0.102,13,4.5
Supplier 5,Supplier 5,0.0307,13,4.5
Supplier 5,Supplier 5,0.0087,13,4.5
Supplier 5,Supplier 5,0.023,13,4.5
Supplier 5,Supplier 5,0.0298,13,4.5
Supplier 5,Supplier 5,0.0099,13,4.5
Supplier 5,Supplier 5,0.0121,13,4.5
Supplier 5,Supplier 5,0.0004,13,4.5
Supplier 5,Supplier 5,0.0217,13,4.5
Supplier 5,Supplier 5,0.0095,13,4.5
Supplier 5,Supplier 5,0.0003,13,4.5
Supplier 5,Supplier 5,0.0722,13,4.5
Supplier 5,Supplier 5,0.0386,13,4.5
Supplier 5,Supplier 5,0.0198,13,4.5
Supplier 5,Supplier 5,0.0403,13,4.5
Supplier 5,Supplier 5,0.0073,13,4.5
Supplier 5,Supplier 5,0.0305,13,4.5
Supplier 5,Supplier 5,0.0171,13,4.5
Supplier 5,Supplier 5,0.0088,13,4.5
Supplier 5,Supplier 5,0.0174,13,4.5
Supplier 5,Supplier 5,0.0114,13,4.5
Supplier 5,Supplier 5,0.0072,13,4.5
Supplier 5,Supplier 5,0.0071,13,4.5
Supplier 5,Supplier 5,0.0413,13,4.5
Supplier 5,Supplier 5,0.0064,13,4.5
Supplier 5,Supplier 5,0.0006,13,4.5
Supplier 5,Supplier 5,0.0089,13,4.5
Supplier 5,Supplier 5,0.013,13,4.5
Supplier 5,Supplier 5,0.011,13,4.5
Supplier 5,Supplier 5,0.0342,13,4.5
Supplier 5,Supplier 5,0.0169,13,4.5
Supplier 5,Supplier 5,0.0166,13,4.5
Supplier 5,Supplier 5,0.0057,13,4.5
Supplier 5,Supplier 5,0.0014,13,4.5
Supplier 5,Supplier 5,0.0215,13,4.5
Supplier 5,Supplier 5,0.0218,13,4.5
Supplier 5,Supplier 5,0.0283,13,4.5
Supplier 5,Supplier 5,0.0666,13,4.5
Supplier 5,Supplier 5,0.0039,13,4.5
Supplier 5,Supplier 5,0.0106,13,4.5
Supplier 5,Supplier 5,0.0136,13,4.5
Supplier 5,Supplier 5,0.0023,13,4.5
Supplier 5,Supplier 5,0.0134,13,4.5
Supplier 5,Supplier 5,0.0086,13,4.5
Supplier 5,Supplier 5,0.0132,13,4.5
Supplier 5,Supplier 5,0.0053,13,4.5
Supplier 5,Supplier 5,0.0015,13,4.5
Supplier 5,Supplier 5,0.0001,13,4.5
Supplier 5,Supplier 5,0.0996,13,4.5
Supplier 5,Supplier 5,0.0062,13,4.5
Supplier 5,Supplier 5,0.0049,13,4.5
Supplier 5,Supplier 5,0.0784,13,4.5
Supplier 5,Supplier 5,0.0538,13,4.5
Supplier 5,Supplier 5,0.0124,13,4.5
Supplier 5,Supplier 5,0.0199,13,4.5
Supplier 5,Supplier 5,0.0257,13,4.5
Supplier 5,Supplier 5,0.0058,13,4.5
Supplier 5,Supplier 5,0.0458,13,4.5
Supplier 5,Supplier 5,0.0475,13,4.5
Supplier 5,Supplier 5,0.0555,13,4.5
Supplier 5,Supplier 5,0.012,13,4.5
Supplier 5,Supplier 5,0.0078,13,4.5
Supplier 5,Supplier 5,0.0045,13,4.5
Supplier 5,Supplier 5,0.026,13,4.5
Supplier 5,Supplier 5,0.0111,13,4.5
Supplier 5,Supplier 5,0.0289,13,4.5
Supplier 5,Supplier 5,0.0256,13,4.5
Supplier 5,Supplier 5,0.0195,13,4.5
Supplier 5,Supplier 5,0.0149,13,4.5
Supplier 5,Supplier 5,0.0227,13,4.5
Supplier 5,Supplier 5,0.0466,13,4.5
Supplier 5,Supplier 5,0.0247,13,4.5
Supplier 5,Supplier 5,0.0158,13,4.5
Supplier 5,Supplier 5,0.0304,13,4.5
